moodle  (All Fields)
Time span:1945-2021. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Training Engineering Students for Understanding Special Subjects in English: the Role of the Online Component in the Experimental ESP Course","Kogan, Marina S.; Gavrilova, Anna, V; Nesterov, Sergey A.","","","","2018 IV INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGIES IN ENGINEERING EDUCATION (INFORINO)","2018","2018","","","","","","","","","","4th International Conference on Information Technologies in Engineering Education (Inforino)","OCT 23-26, 2018","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"BILATERAL INTERPRETING COURSE IN BLENDED LEARNING: EXPERIMENTAL VERIFICATION","Kolomieets, Svitlana; Guryeyeva, Lyudmyla","","","","ADVANCED EDUCATION","2018","2018","","10","","","","82","87","","10.20535/2410-8286.141437","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"WEBINAR BASED CROSSBORDER TRAINING INITIATIVE BY CEOS WGCapD ON SAR AND DISASTERS: ACHIEVEMENTS AND LESSONS LEARNT","Kumar, A. Senthil; Ferrera, H.; Aggarwal, S. P.; Wood, E. C.","","","Kumar, AS; Saran, S; Padalia, H","ISPRS TC V MID-TERM SYMPOSIUM GEOSPATIAL TECHNOLOGY - PIXEL TO PEOPLE","2018","2018","4-5","","","","","65","70","","10.5194/isprs-annals-IV-5-65-2018","ISPRS TC V Mid-Term Symposium on Geospatial Technology - Pixel to People","NOV 20-23, 2018","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"An analysis of the permeability of Moroccan higher education to e-learning and simulation based e-learning","Laaziz, El Hassan; Elkhouzai, Elmustapha","","","","INTERNATIONAL JOURNAL OF TECHNOLOGY ENHANCED LEARNING","2018","2018","10","3","","","","254","267","","10.1504/IJTEL.2018.10010205","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"The Design and Application of Flip Classroom Teaching Based on Computer Technology","Li, Jia; Zhang, Xiaoxia; Hu, Zijun","","","","INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING","2018","2018","13","10","","","","95","107","","10.3991/ijet.v13i10.9453","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"Merging Information Using Uncertain Gates: An Application to Educational Indicators","Petiot, Guillaume","","","Medina, J; OjedaAciego, M; Verdegay, JL; Pelta, DA; Cabrera, IP; BouchonMeunier, B; Yager, RR","INFORMATION PROCESSING AND MANAGEMENT OF UNCERTAINTY IN KNOWLEDGE-BASED SYSTEMS: THEORY AND FOUNDATIONS, IPMU 2018, PT I","2018","2018","853","","I","","","183","194","","10.1007/978-3-319-91473-2_16","17th International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems (IPMU)","JUN 11-15, 2018","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"Exploring the effectiveness of continuous activity with automatic feedback in online calculus","Sancho-Vinuesa, Teresa; Masia, Ramon; Fuertes-Alpiste, Marc; Molas-Castells, Nuria","","","","COMPUTER APPLICATIONS IN ENGINEERING EDUCATION","JAN 2018","2018","26","1","","","","62","74","","10.1002/cae.21861","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"The Implementation of E-learning System at UIN Sumatera Utara in Response to Technology Challenge in Education","Sayekti, Retno","","","Motlan; Restuati, M; Rajagukguk, J","INTERNATIONAL CONFERENCE ON INNOVATION IN EDUCATION, SCIENCE AND CULTURE (ICIESC-2017)","2018","2018","970","","","","","","","012026","10.1088/1742-6596/970/1/012026","International Conference on Innovation in Education, Science and Culture (ICIESC)","NOV 08-09, 2017","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"ONLINE COURSE DESIGN AND MATERIALS DEVELOPMENT FOR TEACHING READING OF RESEARCH ARTICLES TO EFL UNDERGRADUATE STUDENTS AT A GREEK TECHNICAL UNIVERSITY","Seiradakis, Emmanuela; Spantidakis, Ioannis","","","","JOURNAL OF TEACHING ENGLISH FOR SPECIFIC AND ACADEMIC PURPOSES","2018","2018","6","2","","","SI","285","296","","10.22190/JTESAP1802285S","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"Analyzing the Current Situation of E-learning at Kabul Polytechnic University","Sokout, Hamidullah; Usagawa, Tsuyoshi","","","","ICEMT 2018: PROCEEDINGS OF THE 2018 2ND INTERNATIONAL CONFERENCE ON EDUCATION AND MULTIMEDIA TECHNOLOGY","2018","2018","","","","","","49","53","","10.1145/3206129.3239428","2nd International Conference on Education and Multimedia Technology (ICEMT)","JUL 02-04, 2018","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Mapping Situations in Implementing Learning Platforms","Tamborg, Andreas Lindenskov; Allsopp, Benjamin Brink","","","Brooks, AL; Brooks, E; Vidakis, N","INTERACTIVITY, GAME CREATION, DESIGN, LEARNING, AND INNOVATION","2018","2018","229","","","","","435","444","","10.1007/978-3-319-76908-0_42","6th European-Alliance-for-Innovation (EAI) International Conference on Interactivity and Game Creation (ArtsIT) / 2nd International Conference on Design, Learning and Innovation (DLI)","OCT 30-31, 2017","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Development of a Moodle Extension for Improving the Management of the Educational Process","Ternauciuc, Andrei; Andone, Diana; Ciuclea, Camelia","","","Roceanu, I; Topor, S; Holotescu, C; Radu, C; Nitu, F; Grosseck, G; Radoi, M","ELEARNING CHALLENGES AND NEW HORIZONS, VOL 4","2018","2018","","","","","","363","371","","10.12753/2066-026X-18-265","14th International Scientific Conference on eLearning and Software for Education - eLearning Challenges and New Horizons","APR 19-20, 2018","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"Virtual platforms use: a useful monitoring tool","Torres-Porras, Jeronimo; Alcantara, Jorge; Rubio, Sebastian","","","","EDMETIC","2018","2018","7","1","","","","242","255","","10.21071/edmetic.v6i2.8696","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"Approaches for integration of educational computer games in e-learning environments","Tuparov, G.; Tuparova, D.","","","Skala, K; Koricic, M; Grbac, TG; CicinSain, M; Sruk, V; Ribaric, S; Gros, S; Vrdoljak, B; Mauher, M; Tijan, E; Pale, P; Janjic, M","2018 41ST INTERNATIONAL CONVENTION ON INFORMATION AND COMMUNICATION TECHNOLOGY, ELECTRONICS AND MICROELECTRONICS (MIPRO)","2018","2018","","","","","","772","776","","","41st International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","MAY 21-25, 2018","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"SCORMAdaptiveQuiz: Implementation of Adaptive e-Learning for Moodle","Ueda, Hiroshi; Furukawa, Masako; Yamaji, Kazutsuna; Nakamura, Motonori","","","Howlett, RJ; Toro, C; Hicks, Y; Jain, LC","KNOWLEDGE-BASED AND INTELLIGENT INFORMATION & ENGINEERING SYSTEMS (KES-2018)","2018","2018","126","","","","","2261","2270","","10.1016/j.procs.2018.07.223","22nd International Conference on Knowledge-Based and Intelligent Information and Engineering Systems (KES)","SEP 03-05, 2018","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Student perceptions and instructor experiences in implementing an online homework system in a large second-year engineering course","Elias, Anastasia L.; Elliott, Duncan G.; Elliott, Janet A. W.","","","","EDUCATION FOR CHEMICAL ENGINEERS","OCT 2017","2017","21","","","","","40","49","","10.1016/j.ece.2017.07.005","","","2","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
